ID,NOMBRE,HORAS TRABAJADAS,SALARIO
646,ARLIE,88,42000.000000
647,FELIKE,220,12000.000000
648,ETHAN,90,12000.000000
649,RUTHY,180,20000.000000
650,HUGO,60,30000.000000
651,THORNDIKE,220,10000.000000
652,CESARO,325,30000.000000
653,HARMONIA,75,12000.000000
654,DAMARA,180,12000.000000
655,MADDY,88,25000.000000
656,FILMER,90,50000.000000
657,BOOTHE,75,12000.000000
658,DORRIE,120,42000.000000
659,WILLDON,220,10000.000000
660,CINDI,325,12000.000000
661,SHERMIE,120,12000.000000
662,BYROM,180,42000.000000
663,MILLIE,90,15000.000000
664,NATASSIA,325,42000.000000
665,WHEELER,60,25000.000000
666,CARITTA,88,12000.000000
667,KENNAN,120,12000.000000
668,KATINA,180,20000.000000
669,BEVERLEE,60,25000.000000
670,ARLETTE,220,30000.000000
671,JACQUELINE,90,50000.000000
672,SHEILA-KATHRYN,90,10000.000000
673,LAMBERT,325,42000.000000
674,LAMONT,220,33000.000000
675,IMMANUEL,75,33000.000000
676,NANI,220,50000.000000
677,GALEN,60,50000.000000
678,NILSON,88,10000.000000
679,TOMI,60,50000.000000
680,FLORE,75,30000.000000
681,BURGESS,120,12000.000000
682,TALLY,75,42000.000000
683,JAQUENETTE,60,25000.000000
684,SLY,60,42000.000000
685,YUL,60,30000.000000
686,ROSALYN,325,37000.000000
687,DEVONDRA,75,10000.000000
688,XENOS,88,37000.000000
689,TERRENCE,75,42000.000000
690,KRYSTYNA,60,50000.000000
691,KRISHNA,325,50000.000000
692,ZORINA,75,18000.000000
693,BAXY,120,20000.000000
694,TERRIE,75,42000.000000
695,JUSTINO,220,18000.000000
696,ERHARD,75,33000.000000
697,ROBBIE,120,30000.000000
698,PADDIE,90,33000.000000
699,EVELYN,75,10000.000000
700,ABBOT,90,33000.000000
701,TEDRA,90,33000.000000
702,RIKKI,90,12000.000000
703,ALVERTA,90,25000.000000
704,PAULY,120,30000.000000
705,ARIELLA,60,12000.000000
706,LIA,120,20000.000000
707,PETRONILLE,75,42000.000000
708,MERLE,325,10000.000000
709,HAGAN,120,50000.000000
710,NIKOLAUS,88,30000.000000
711,CINDA,120,42000.000000
712,MATELDA,120,18000.000000
713,ROSLYN,120,25000.000000
714,JERRYLEE,180,10000.000000
715,LUCKY,325,42000.000000
716,ELITA,90,18000.000000
717,HYACINTHIA,90,25000.000000
718,FINA,220,42000.000000
719,KAMILA,88,42000.000000
720,JENNIE,88,42000.000000
721,RIOBARD,180,42000.000000
722,JOANNES,325,10000.000000
723,DARLENE,180,42000.000000
724,ZIA,75,42000.000000
725,CRISTINA,90,15000.000000
726,JONATHON,220,50000.000000
727,RICKIE,220,42000.000000
728,KLARA,180,50000.000000
729,OSBERT,75,33000.000000
730,EMMET,90,37000.000000
731,CASSANDRY,60,33000.000000
732,ENRICA,325,18000.000000
733,EVVY,75,42000.000000
734,SILAS,180,20000.000000
735,KAIA,180,25000.000000
736,ARVIE,325,15000.000000
737,KEITH,180,20000.000000
738,SILVIE,120,12000.000000
739,WINNIFRED,75,10000.000000
740,CHEN,325,37000.000000
741,CARLETON,75,15000.000000
742,SILVANO,220,12000.000000
743,PANCHO,88,18000.000000
744,MELONIE,90,33000.000000
745,GORDON,325,12000.000000
746,ROSEMARIE,75,10000.000000
747,GRAEHME,90,18000.000000
748,MITCHAEL,90,33000.000000
749,CAROLA,325,10000.000000
750,ZSA ZSA,180,20000.000000
751,JUDE,180,12000.000000
752,ARCH,180,33000.000000
753,ANDREJ,88,50000.000000
754,AMBER,325,42000.000000
755,DORIAN,325,15000.000000
756,KAITLYNN,88,15000.000000
757,KERIANNE,220,37000.000000
758,BOYCIE,88,18000.000000
759,NANETE,90,37000.000000
760,SIDONIA,120,10000.000000
761,GALVAN,120,33000.000000
762,LUCIENNE,75,25000.000000
763,DAVIDSON,75,37000.000000
764,ROSLYN,180,10000.000000
765,JENNY,180,33000.000000
766,TOBY,88,20000.000000
767,BRYNNE,325,18000.000000
768,BLAKELEY,325,18000.000000
769,EGAN,325,10000.000000
770,BARBEY,325,20000.000000
771,PORTIA,60,33000.000000
772,ALICA,60,37000.000000
773,JULIANA,180,50000.000000
774,BARDE,88,18000.000000
775,WILIE,90,30000.000000
776,LETTA,220,10000.000000
777,REE,90,42000.000000
778,INGMAR,75,18000.000000
779,MELVA,120,42000.000000
780,TOOTSIE,88,25000.000000
781,FELIKE,75,33000.000000
782,LAUGHTON,325,15000.000000
783,CROSBY,60,12000.000000
784,MARIANNE,60,33000.000000
785,FRANCINE,120,42000.000000
786,EDAN,60,50000.000000
787,FAYRE,120,18000.000000
788,ADELAIDA,180,37000.000000
789,FLORELLA,220,25000.000000
790,NOLL,120,30000.000000
791,KI,60,42000.000000
792,JERMAYNE,75,33000.000000
793,GRAYCE,325,33000.000000
794,HARV,325,42000.000000
795,LORIANNA,60,15000.000000
796,HERSH,180,33000.000000
797,DIAHANN,88,33000.000000
798,YELENA,180,50000.000000
799,EMMALINE,88,37000.000000
800,DAFFI,90,12000.000000
801,JANINE,60,50000.000000
802,SHEILAH,180,42000.000000
803,LAZARO,220,10000.000000
804,EARLE,90,30000.000000
805,FRED,88,25000.000000
806,ALMIRA,220,42000.000000
807,WINI,88,37000.000000
808,EMANUEL,75,30000.000000
809,OBADIAS,220,10000.000000
810,EFREM,325,20000.000000
811,SUSI,60,18000.000000
812,MAXY,60,15000.000000
813,AGNES,88,42000.000000
814,OBADIAH,60,12000.000000
815,LEFTY,220,50000.000000
816,MICHELE,88,42000.000000
817,CYNTHIA,88,25000.000000
818,HYATT,220,20000.000000
819,ROCH,220,33000.000000
820,MAG,88,12000.000000
821,TREVOR,180,10000.000000
822,JEFFEREY,75,10000.000000
823,TANIA,325,42000.000000
824,MERCIE,90,42000.000000
825,ANDREI,325,10000.000000
826,YETTA,120,25000.000000
827,ANGELI,90,20000.000000
828,NORBERT,90,20000.000000
829,CONAN,180,20000.000000
830,CALE,60,50000.000000
831,CHRISTINA,60,37000.000000
832,OLIVIER,325,20000.000000
833,OBY,325,12000.000000
834,CHAD,75,15000.000000
835,ADELLE,60,10000.000000
836,KEENE,60,25000.000000
837,CORRINA,75,50000.000000
838,HASHIM,88,50000.000000
839,ORALIA,325,10000.000000
840,WADSWORTH,325,30000.000000
841,SHELLEY,60,15000.000000
842,IRV,120,15000.000000
843,GRANT,220,33000.000000
844,BELLA,88,18000.000000
845,YARDLEY,60,50000.000000
846,BRENDIN,120,10000.000000
847,ESTELLA,220,42000.000000
848,RASIA,60,37000.000000
849,GIBB,180,20000.000000
850,AMANDA,325,37000.000000
851,SIDONEY,220,20000.000000
852,GIACOPO,90,18000.000000
853,EVE,180,12000.000000
854,LEVON,120,25000.000000
855,VASSILI,120,33000.000000
856,HENRIETA,180,30000.000000
857,DEVLEN,120,37000.000000
858,OPHELIE,120,37000.000000
859,ABRAMO,325,37000.000000
860,FAIR,60,37000.000000
861,PIETREK,325,25000.000000
862,HOLDEN,180,50000.000000
863,CHERISH,90,42000.000000
864,ALONZO,325,12000.000000
865,DEVONNA,60,18000.000000
866,RUBI,60,18000.000000
867,EMMANUEL,220,30000.000000
868,TRUMAINE,88,42000.000000
869,MALORY,220,42000.000000
